#oID	individual	descriptor	value
7092	1	VALENCE/PLEASANTNESS	57.781
7137	1	VALENCE/PLEASANTNESS	60.126
7302	1	VALENCE/PLEASANTNESS	43.711
7476	1	VALENCE/PLEASANTNESS	57.498
7559	1	VALENCE/PLEASANTNESS	45.202
7657	1	VALENCE/PLEASANTNESS	40.832
7770	1	VALENCE/PLEASANTNESS	50.4
7793	1	VALENCE/PLEASANTNESS	50.924
7797	1	VALENCE/PLEASANTNESS	55.514
8025	1	VALENCE/PLEASANTNESS	42.454
8049	1	VALENCE/PLEASANTNESS	39.341
8094	1	VALENCE/PLEASANTNESS	38.209
8419	1	VALENCE/PLEASANTNESS	56.66
8438	1	VALENCE/PLEASANTNESS	55.712
8468	1	VALENCE/PLEASANTNESS	46.335
8815	1	VALENCE/PLEASANTNESS	50.766
8878	1	VALENCE/PLEASANTNESS	50.52
9012	1	VALENCE/PLEASANTNESS	27.52
10886	1	VALENCE/PLEASANTNESS	53.161
11567	1	VALENCE/PLEASANTNESS	46.556
12020	1	VALENCE/PLEASANTNESS	36.934
12265	1	VALENCE/PLEASANTNESS	31.917
12377	1	VALENCE/PLEASANTNESS	29.902
15654	1	VALENCE/PLEASANTNESS	25.081
16537	1	VALENCE/PLEASANTNESS	63.159
17898	1	VALENCE/PLEASANTNESS	39.974
18467	1	VALENCE/PLEASANTNESS	41.339
21363	1	VALENCE/PLEASANTNESS	38.217
27440	1	VALENCE/PLEASANTNESS	27.282
31219	1	VALENCE/PLEASANTNESS	52.452
31276	1	VALENCE/PLEASANTNESS	46.855
31283	1	VALENCE/PLEASANTNESS	27.32
60998	1	VALENCE/PLEASANTNESS	42.36
61523	1	VALENCE/PLEASANTNESS	46.538
62089	1	VALENCE/PLEASANTNESS	37.61
62351	1	VALENCE/PLEASANTNESS	23.269
62465	1	VALENCE/PLEASANTNESS	43.446
251531	1	VALENCE/PLEASANTNESS	41.435
440917	1	VALENCE/PLEASANTNESS	49.504
637758	1	VALENCE/PLEASANTNESS	56.011
853433	1	VALENCE/PLEASANTNESS	47.869
1549025	1	VALENCE/PLEASANTNESS	49.431
2733294	1	VALENCE/PLEASANTNESS	47.901
5281167	1	VALENCE/PLEASANTNESS	37.759
5281168	1	VALENCE/PLEASANTNESS	33.672
5318599	1	VALENCE/PLEASANTNESS	38.295
5352837	1	VALENCE/PLEASANTNESS	44.127
5364231	1	VALENCE/PLEASANTNESS	52.896
5371102	1	VALENCE/PLEASANTNESS	43.224
10857465	1	VALENCE/PLEASANTNESS	60.528
180	1	BAKERY	3.6606
262	1	BAKERY	2.7414
264	1	BAKERY	2.8721
323	1	BAKERY	14.252
702	1	BAKERY	4.7783
750	1	BAKERY	4.1198
753	1	BAKERY	3.6135
962	1	BAKERY	2.0346
1031	1	BAKERY	2.6735
3102	1	BAKERY	1.7921
3314	1	BAKERY	9.3657
5862	1	BAKERY	2.8072
5962	1	BAKERY	2.0314
6274	1	BAKERY	2.8636
6322	1	BAKERY	2.0547
6506	1	BAKERY	2.4054
6544	1	BAKERY	2.8637
6561	1	BAKERY	2.3932
6669	1	BAKERY	11.93
7092	1	BAKERY	13.271
7137	1	BAKERY	13.098
7302	1	BAKERY	6.7267
7476	1	BAKERY	3.1716
7559	1	BAKERY	2.5123
7657	1	BAKERY	1.3283
7770	1	BAKERY	2.265
7793	1	BAKERY	2.3364
7797	1	BAKERY	2.3688
8025	1	BAKERY	3.1526
8049	1	BAKERY	1.8057
8094	1	BAKERY	2.5363
8419	1	BAKERY	12.505
8438	1	BAKERY	9.8076
8468	1	BAKERY	15.208
8815	1	BAKERY	2.5918
8878	1	BAKERY	2.7926
9012	1	BAKERY	0.18252
10886	1	BAKERY	2.5368
11567	1	BAKERY	3.0644
12020	1	BAKERY	3.1657
12265	1	BAKERY	1.8324
12377	1	BAKERY	2.0354
15654	1	BAKERY	4.0237
16537	1	BAKERY	2.2982
17898	1	BAKERY	6.7025
18467	1	BAKERY	5.421
21363	1	BAKERY	2.944
27440	1	BAKERY	3.1058
31219	1	BAKERY	2.3314
31276	1	BAKERY	2.2485
31283	1	BAKERY	2.0889
60998	1	BAKERY	2.0891
61523	1	BAKERY	2.4231
62089	1	BAKERY	3.7143
62351	1	BAKERY	3.346
62465	1	BAKERY	9.3648
251531	1	BAKERY	2.2741
440917	1	BAKERY	2.1977
637758	1	BAKERY	4.069
853433	1	BAKERY	10.166
1549025	1	BAKERY	4.2294
2733294	1	BAKERY	3.5035
5281167	1	BAKERY	2.6507
5281168	1	BAKERY	3.122
5318599	1	BAKERY	3.2612
5352837	1	BAKERY	2.3962
5364231	1	BAKERY	4.3163
5371102	1	BAKERY	2.3858
10857465	1	BAKERY	1.5734
180	1	SWEET	7.9545
262	1	SWEET	9.2625
264	1	SWEET	8.7036
323	1	SWEET	25.927
702	1	SWEET	6.5575
750	1	SWEET	7.3234
753	1	SWEET	8.9624
962	1	SWEET	17.196
1031	1	SWEET	5.3847
3102	1	SWEET	14.213
3314	1	SWEET	11.34
5862	1	SWEET	4.2907
5962	1	SWEET	8.6997
6274	1	SWEET	5.2223
6322	1	SWEET	13.394
6506	1	SWEET	6.1825
6544	1	SWEET	18.748
6561	1	SWEET	5.719
6669	1	SWEET	5.3573
7092	1	SWEET	25.59
7137	1	SWEET	30.84
7302	1	SWEET	12.031
7476	1	SWEET	28.839
7559	1	SWEET	18.439
7657	1	SWEET	6.6698
7770	1	SWEET	28.3
7793	1	SWEET	16.509
7797	1	SWEET	33.871
8025	1	SWEET	10.76
8049	1	SWEET	9.9837
8094	1	SWEET	12.87
8419	1	SWEET	26.749
8438	1	SWEET	22.982
8468	1	SWEET	13.467
8815	1	SWEET	16.345
8878	1	SWEET	24.473
9012	1	SWEET	2.9611
10886	1	SWEET	25.377
11567	1	SWEET	16.184
12020	1	SWEET	7.1778
12265	1	SWEET	4.4718
12377	1	SWEET	5.4314
15654	1	SWEET	3.6571
16537	1	SWEET	30.649
17898	1	SWEET	10.041
18467	1	SWEET	10.872
21363	1	SWEET	10.134
27440	1	SWEET	4.7419
31219	1	SWEET	22.438
31276	1	SWEET	17.787
31283	1	SWEET	2.9742
60998	1	SWEET	12.996
61523	1	SWEET	14.423
62089	1	SWEET	10.386
62351	1	SWEET	3.1449
62465	1	SWEET	12.578
251531	1	SWEET	9.9004
440917	1	SWEET	12.589
637758	1	SWEET	24.485
853433	1	SWEET	14.806
1549025	1	SWEET	13.316
2733294	1	SWEET	20.772
5281167	1	SWEET	6.9895
5281168	1	SWEET	6.9931
5318599	1	SWEET	8.7259
5352837	1	SWEET	11.11
5364231	1	SWEET	20.731
5371102	1	SWEET	11.078
10857465	1	SWEET	16.848
180	1	FRUIT	2.1229
262	1	FRUIT	3.2326
264	1	FRUIT	2.7188
323	1	FRUIT	4.2927
702	1	FRUIT	0.30383
750	1	FRUIT	1.5961
753	1	FRUIT	2.0617
962	1	FRUIT	5.8394
1031	1	FRUIT	0.94106
3102	1	FRUIT	3.7523
3314	1	FRUIT	1.7842
5862	1	FRUIT	1.5385
5962	1	FRUIT	4.4752
6274	1	FRUIT	2.5432
6322	1	FRUIT	9.1462
6506	1	FRUIT	2.48
6544	1	FRUIT	7.1656
6561	1	FRUIT	2.1029
6669	1	FRUIT	-12.037
7092	1	FRUIT	3.9469
7137	1	FRUIT	5.2941
7302	1	FRUIT	2.675
7476	1	FRUIT	9.0952
7559	1	FRUIT	6.3516
7657	1	FRUIT	2.3029
7770	1	FRUIT	20.749
7793	1	FRUIT	11.751
7797	1	FRUIT	28.117
8025	1	FRUIT	2.913
8049	1	FRUIT	5.6876
8094	1	FRUIT	5.6027
8419	1	FRUIT	3.6702
8438	1	FRUIT	3.6498
8468	1	FRUIT	0.96259
8815	1	FRUIT	4.8232
8878	1	FRUIT	15.07
9012	1	FRUIT	1.3467
10886	1	FRUIT	15.576
11567	1	FRUIT	4.8206
12020	1	FRUIT	2.4216
12265	1	FRUIT	2.053
12377	1	FRUIT	3.0342
15654	1	FRUIT	1.5801
16537	1	FRUIT	20.477
17898	1	FRUIT	2.9067
18467	1	FRUIT	3.3147
21363	1	FRUIT	2.613
27440	1	FRUIT	2.2426
31219	1	FRUIT	9.3107
31276	1	FRUIT	14.191
31283	1	FRUIT	0.99662
60998	1	FRUIT	4.7941
61523	1	FRUIT	4.0473
62089	1	FRUIT	3.5961
62351	1	FRUIT	1.1472
62465	1	FRUIT	1.8738
251531	1	FRUIT	2.9288
440917	1	FRUIT	4.6563
637758	1	FRUIT	7.9594
853433	1	FRUIT	2.4208
1549025	1	FRUIT	8.2312
2733294	1	FRUIT	13.471
5281167	1	FRUIT	2.7213
5281168	1	FRUIT	2.691
5318599	1	FRUIT	2.8527
5352837	1	FRUIT	5.0133
5364231	1	FRUIT	13.728
5371102	1	FRUIT	3.4157
10857465	1	FRUIT	3.6561
180	1	FISH	0.8206
262	1	FISH	0.74912
264	1	FISH	0.98738
323	1	FISH	0.54613
702	1	FISH	1.9162
750	1	FISH	1.5353
753	1	FISH	1.2651
962	1	FISH	2.1542
1031	1	FISH	2.2735
3102	1	FISH	0.70073
3314	1	FISH	1.4477
5862	1	FISH	5.3549
5962	1	FISH	2.9236
6274	1	FISH	1.4139
6322	1	FISH	2.7332
6506	1	FISH	4.1907
6544	1	FISH	0.61646
6561	1	FISH	0.59812
6669	1	FISH	1.4752
7092	1	FISH	0.52631
7137	1	FISH	0.69328
7302	1	FISH	1.5353
7476	1	FISH	0.87934
7559	1	FISH	1.1699
7657	1	FISH	1.2389
7770	1	FISH	0.89435
7793	1	FISH	0.66983
7797	1	FISH	0.73612
8025	1	FISH	1.7442
8049	1	FISH	1.8247
8094	1	FISH	0.79765
8419	1	FISH	1.0118
8438	1	FISH	0.58817
8468	1	FISH	1.4291
8815	1	FISH	1.3869
8878	1	FISH	0.80537
9012	1	FISH	8.8095
10886	1	FISH	0.76233
11567	1	FISH	1.3127
12020	1	FISH	1.6414
12265	1	FISH	1.884
12377	1	FISH	9.6397
15654	1	FISH	4.8699
16537	1	FISH	0.5227
17898	1	FISH	0.83512
18467	1	FISH	0.70512
21363	1	FISH	1.2417
27440	1	FISH	4.8789
31219	1	FISH	0.97103
31276	1	FISH	0.6704
31283	1	FISH	1.7485
60998	1	FISH	0.77771
61523	1	FISH	1.3157
62089	1	FISH	1.2265
62351	1	FISH	9.125
62465	1	FISH	1.5096
251531	1	FISH	1.0776
440917	1	FISH	0.98695
637758	1	FISH	0.72814
853433	1	FISH	0.87843
1549025	1	FISH	0.61719
2733294	1	FISH	0.63748
5281167	1	FISH	2.5469
5281168	1	FISH	1.2045
5318599	1	FISH	1.402
5352837	1	FISH	1.7325
5364231	1	FISH	0.70755
5371102	1	FISH	1.0291
10857465	1	FISH	0.55116
180	1	GARLIC	3.5875
262	1	GARLIC	2.4178
264	1	GARLIC	2.9495
323	1	GARLIC	1.6269
702	1	GARLIC	6.0157
750	1	GARLIC	3.8932
753	1	GARLIC	3.2229
962	1	GARLIC	5.1388
1031	1	GARLIC	5.0934
3102	1	GARLIC	1.5781
3314	1	GARLIC	2.8402
5862	1	GARLIC	9.8835
5962	1	GARLIC	2.3955
6274	1	GARLIC	2.1699
6322	1	GARLIC	2.0184
6506	1	GARLIC	5.1829
6544	1	GARLIC	1.7256
6561	1	GARLIC	2.4212
6669	1	GARLIC	6.1029
7092	1	GARLIC	1.6121
7137	1	GARLIC	2.3355
7302	1	GARLIC	3.0451
7476	1	GARLIC	1.7147
7559	1	GARLIC	1.9944
7657	1	GARLIC	1.9703
7770	1	GARLIC	2.1223
7793	1	GARLIC	1.8184
7797	1	GARLIC	1.8392
8025	1	GARLIC	3.5821
8049	1	GARLIC	2.2222
8094	1	GARLIC	1.8914
8419	1	GARLIC	1.7543
8438	1	GARLIC	1.5939
8468	1	GARLIC	2.7643
8815	1	GARLIC	2.1209
8878	1	GARLIC	2.3023
9012	1	GARLIC	16.982
10886	1	GARLIC	2.2735
11567	1	GARLIC	2.0102
12020	1	GARLIC	3.2657
12265	1	GARLIC	2.563
12377	1	GARLIC	20.366
15654	1	GARLIC	8.984
16537	1	GARLIC	1.6531
17898	1	GARLIC	1.8039
18467	1	GARLIC	1.7929
21363	1	GARLIC	2.0532
27440	1	GARLIC	9.7606
31219	1	GARLIC	1.8557
31276	1	GARLIC	1.7242
31283	1	GARLIC	2.4226
60998	1	GARLIC	2.087
61523	1	GARLIC	1.8431
62089	1	GARLIC	2.1729
62351	1	GARLIC	17.914
62465	1	GARLIC	2.4473
251531	1	GARLIC	1.6668
440917	1	GARLIC	1.9949
637758	1	GARLIC	1.8095
853433	1	GARLIC	2.1213
1549025	1	GARLIC	1.8692
2733294	1	GARLIC	1.8173
5281167	1	GARLIC	3.9814
5281168	1	GARLIC	2.677
5318599	1	GARLIC	3.0497
5352837	1	GARLIC	2.5074
5364231	1	GARLIC	1.8883
5371102	1	GARLIC	2.0547
10857465	1	GARLIC	1.5846
180	1	SPICES	6.2414
262	1	SPICES	4.0304
264	1	SPICES	5.2368
323	1	SPICES	7.6722
702	1	SPICES	6.7648
750	1	SPICES	6.7921
753	1	SPICES	4.9157
962	1	SPICES	10.912
1031	1	SPICES	5.614
3102	1	SPICES	4.4303
3314	1	SPICES	16.325
5862	1	SPICES	7.4642
5962	1	SPICES	4.0777
6274	1	SPICES	4.2299
6322	1	SPICES	3.9373
6506	1	SPICES	4.319
6544	1	SPICES	6.8325
6561	1	SPICES	5.0963
6669	1	SPICES	3.973
7092	1	SPICES	8.1723
7137	1	SPICES	13.414
7302	1	SPICES	5.8111
7476	1	SPICES	8.5201
7559	1	SPICES	7.7899
7657	1	SPICES	5.6412
7770	1	SPICES	4.5465
7793	1	SPICES	7.5559
7797	1	SPICES	4.7615
8025	1	SPICES	5.086
8049	1	SPICES	3.908
8094	1	SPICES	4.6603
8419	1	SPICES	9.1611
8438	1	SPICES	7.2985
8468	1	SPICES	12.274
8815	1	SPICES	12.789
8878	1	SPICES	6.2324
9012	1	SPICES	10.132
10886	1	SPICES	5.1558
11567	1	SPICES	6.0043
12020	1	SPICES	6.9056
12265	1	SPICES	4.5387
12377	1	SPICES	11.55
15654	1	SPICES	10.064
16537	1	SPICES	7.4547
17898	1	SPICES	5.2721
18467	1	SPICES	5.8659
21363	1	SPICES	5.2474
27440	1	SPICES	9.7284
31219	1	SPICES	6.194
31276	1	SPICES	4.3911
31283	1	SPICES	3.8062
60998	1	SPICES	6.0846
61523	1	SPICES	6.9012
62089	1	SPICES	5.3219
62351	1	SPICES	6.329
62465	1	SPICES	10.762
251531	1	SPICES	3.8867
440917	1	SPICES	12.63
637758	1	SPICES	6.0834
853433	1	SPICES	13.254
1549025	1	SPICES	4.6724
2733294	1	SPICES	4.8604
5281167	1	SPICES	5.3437
5281168	1	SPICES	5.003
5318599	1	SPICES	5.7546
5352837	1	SPICES	4.7025
5364231	1	SPICES	4.2184
5371102	1	SPICES	5.3779
10857465	1	SPICES	7.7662
180	1	COLD	3.5985
262	1	COLD	6.2983
264	1	COLD	3.3835
323	1	COLD	5.9978
702	1	COLD	4.0062
750	1	COLD	3.0315
753	1	COLD	4.2904
962	1	COLD	6.5449
1031	1	COLD	4.2663
3102	1	COLD	6.585
3314	1	COLD	3.9112
5862	1	COLD	2.8264
5962	1	COLD	3.9772
6274	1	COLD	3.0867
6322	1	COLD	4.6004
6506	1	COLD	5.1177
6544	1	COLD	9.5456
6561	1	COLD	3.7391
6669	1	COLD	5.9403
7092	1	COLD	5.5047
7137	1	COLD	4.1348
7302	1	COLD	3.8227
7476	1	COLD	6.0448
7559	1	COLD	4.6011
7657	1	COLD	4.2301
7770	1	COLD	5.1772
7793	1	COLD	5.9102
7797	1	COLD	5.376
8025	1	COLD	3.6122
8049	1	COLD	5.7077
8094	1	COLD	3.4329
8419	1	COLD	3.9635
8438	1	COLD	5.7015
8468	1	COLD	3.1135
8815	1	COLD	5.7252
8878	1	COLD	5.0392
9012	1	COLD	2.6897
10886	1	COLD	5.1174
11567	1	COLD	7.3461
12020	1	COLD	4.7389
12265	1	COLD	4.068
12377	1	COLD	2.7691
15654	1	COLD	3.0152
16537	1	COLD	8.7429
17898	1	COLD	3.3928
18467	1	COLD	3.3813
21363	1	COLD	4.4027
27440	1	COLD	2.9191
31219	1	COLD	4.9835
31276	1	COLD	4.5037
31283	1	COLD	4.2871
60998	1	COLD	4.1837
61523	1	COLD	4.792
62089	1	COLD	2.853
62351	1	COLD	2.5261
62465	1	COLD	3.4537
251531	1	COLD	3.1955
440917	1	COLD	8.4692
637758	1	COLD	4.7517
853433	1	COLD	3.7836
1549025	1	COLD	3.1692
2733294	1	COLD	3.6256
5281167	1	COLD	4.2683
5281168	1	COLD	3.2076
5318599	1	COLD	4.1657
5352837	1	COLD	4.6171
5364231	1	COLD	4.0032
5371102	1	COLD	3.2534
10857465	1	COLD	10.024
180	1	SOUR	11.746
262	1	SOUR	6.4995
264	1	SOUR	14.57
323	1	SOUR	5.0886
702	1	SOUR	8.9087
750	1	SOUR	10.052
753	1	SOUR	10.496
962	1	SOUR	5.1273
1031	1	SOUR	11.92
3102	1	SOUR	4.944
3314	1	SOUR	6.5221
5862	1	SOUR	14.947
5962	1	SOUR	8.8267
6274	1	SOUR	7.9142
6322	1	SOUR	5.7191
6506	1	SOUR	21.279
6544	1	SOUR	6.3919
6561	1	SOUR	14.148
6669	1	SOUR	16.064
7092	1	SOUR	5.3824
7137	1	SOUR	6.9085
7302	1	SOUR	9.6164
7476	1	SOUR	5.9202
7559	1	SOUR	8.2639
7657	1	SOUR	6.4648
7770	1	SOUR	8.6626
7793	1	SOUR	6.8536
7797	1	SOUR	6.5815
8025	1	SOUR	13.596
8049	1	SOUR	10.983
8094	1	SOUR	11.891
8419	1	SOUR	6.4641
8438	1	SOUR	5.7731
8468	1	SOUR	7.7134
8815	1	SOUR	6.3027
8878	1	SOUR	8.2686
9012	1	SOUR	9.3805
10886	1	SOUR	6.161
11567	1	SOUR	8.004
12020	1	SOUR	10.169
12265	1	SOUR	7.77
12377	1	SOUR	13.432
15654	1	SOUR	11.91
16537	1	SOUR	5.601
17898	1	SOUR	6.9184
18467	1	SOUR	7.5754
21363	1	SOUR	9.9114
27440	1	SOUR	11.412
31219	1	SOUR	7.6148
31276	1	SOUR	10.62
31283	1	SOUR	13.327
60998	1	SOUR	8.1394
61523	1	SOUR	5.4769
62089	1	SOUR	12.244
62351	1	SOUR	18.61
62465	1	SOUR	6.1991
251531	1	SOUR	7.5092
440917	1	SOUR	6.3931
637758	1	SOUR	5.6489
853433	1	SOUR	6.0805
1549025	1	SOUR	10.074
2733294	1	SOUR	11.041
5281167	1	SOUR	11.97
5281168	1	SOUR	16.411
5318599	1	SOUR	10.184
5352837	1	SOUR	9.7
5364231	1	SOUR	9.3095
5371102	1	SOUR	9.8589
10857465	1	SOUR	4.9201
180	1	BURNT	3.115
262	1	BURNT	4.5662
264	1	BURNT	4.4576
323	1	BURNT	3.4568
702	1	BURNT	2.4845
750	1	BURNT	6.4056
753	1	BURNT	11.132
962	1	BURNT	3.19
1031	1	BURNT	2.6567
3102	1	BURNT	3.9845
3314	1	BURNT	7.4554
5862	1	BURNT	18.298
5962	1	BURNT	6.6414
6274	1	BURNT	8.6293
6322	1	BURNT	6.0401
6506	1	BURNT	3.0454
6544	1	BURNT	3.6028
6561	1	BURNT	4.2459
6669	1	BURNT	1.4499
7092	1	BURNT	3.4861
7137	1	BURNT	2.9523
7302	1	BURNT	5.5076
7476	1	BURNT	4.6718
7559	1	BURNT	3.4179
7657	1	BURNT	7.1591
7770	1	BURNT	2.0399
7793	1	BURNT	5.2572
7797	1	BURNT	3.0424
8025	1	BURNT	2.2176
8049	1	BURNT	5.6758
8094	1	BURNT	5.8297
8419	1	BURNT	7.0633
8438	1	BURNT	6.0179
8468	1	BURNT	7.5485
8815	1	BURNT	5.2047
8878	1	BURNT	4.2533
9012	1	BURNT	17.624
10886	1	BURNT	3.1295
11567	1	BURNT	4.1822
12020	1	BURNT	5.4332
12265	1	BURNT	6.1728
12377	1	BURNT	8.9752
15654	1	BURNT	16.2
16537	1	BURNT	2.6775
17898	1	BURNT	8.8137
18467	1	BURNT	7.4853
21363	1	BURNT	5.5932
27440	1	BURNT	11.798
31219	1	BURNT	3.077
31276	1	BURNT	2.63
31283	1	BURNT	7.3629
60998	1	BURNT	3.0713
61523	1	BURNT	8.3453
62089	1	BURNT	6.8964
62351	1	BURNT	23.057
62465	1	BURNT	8.1234
251531	1	BURNT	7.0621
440917	1	BURNT	4.2779
637758	1	BURNT	3.5094
853433	1	BURNT	7.2198
1549025	1	BURNT	5.0524
2733294	1	BURNT	3.6863
5281167	1	BURNT	2.4999
5281168	1	BURNT	3.3591
5318599	1	BURNT	4.6046
5352837	1	BURNT	3.5018
5364231	1	BURNT	3.4226
5371102	1	BURNT	4.4535
10857465	1	BURNT	2.6702
180	1	ACID	6.3709
262	1	ACID	7.9896
264	1	ACID	6.7039
323	1	ACID	5.6314
702	1	ACID	4.1777
750	1	ACID	3.6372
753	1	ACID	7.921
962	1	ACID	3.9774
1031	1	ACID	6.2229
3102	1	ACID	7.172
3314	1	ACID	5.7169
5862	1	ACID	3.8431
5962	1	ACID	4.3906
6274	1	ACID	3.4354
6322	1	ACID	3.4755
6506	1	ACID	8.798
6544	1	ACID	5.7485
6561	1	ACID	7.5989
6669	1	ACID	3.8435
7092	1	ACID	5.2907
7137	1	ACID	3.7555
7302	1	ACID	5.1651
7476	1	ACID	6.3022
7559	1	ACID	7.156
7657	1	ACID	8.2039
7770	1	ACID	5.9235
7793	1	ACID	8.9016
7797	1	ACID	5.7147
8025	1	ACID	5.1259
8049	1	ACID	7.1307
8094	1	ACID	7.0861
8419	1	ACID	6.2081
8438	1	ACID	5.7961
8468	1	ACID	4.2302
8815	1	ACID	7.7052
8878	1	ACID	4.698
9012	1	ACID	5.1916
10886	1	ACID	4.4927
11567	1	ACID	6.258
12020	1	ACID	7.0814
12265	1	ACID	9.7286
12377	1	ACID	7.1698
15654	1	ACID	7.4446
16537	1	ACID	7.3494
17898	1	ACID	5.7169
18467	1	ACID	5.3364
21363	1	ACID	6.7892
27440	1	ACID	7.234
31219	1	ACID	4.9222
31276	1	ACID	7.5784
31283	1	ACID	7.4592
60998	1	ACID	5.1822
61523	1	ACID	7.2003
62089	1	ACID	5.986
62351	1	ACID	4.3542
62465	1	ACID	5.2524
251531	1	ACID	7.3026
440917	1	ACID	7.3465
637758	1	ACID	3.132
853433	1	ACID	4.3336
1549025	1	ACID	4.411
2733294	1	ACID	4.347
5281167	1	ACID	4.2133
5281168	1	ACID	4.4769
5318599	1	ACID	4.4374
5352837	1	ACID	5.3377
5364231	1	ACID	3.8326
5371102	1	ACID	4.0397
10857465	1	ACID	7.1965
180	1	WARM	5.0379
262	1	WARM	4.8861
264	1	WARM	5.4291
323	1	WARM	8.3442
702	1	WARM	5.1949
750	1	WARM	5.7445
753	1	WARM	5.686
962	1	WARM	4.3305
1031	1	WARM	4.916
3102	1	WARM	5.3688
3314	1	WARM	8.6908
5862	1	WARM	7.8759
5962	1	WARM	5.2381
6274	1	WARM	5.9358
6322	1	WARM	5.9829
6506	1	WARM	6.5136
6544	1	WARM	5.9689
6561	1	WARM	5.0714
6669	1	WARM	5.3874
7092	1	WARM	8.4659
7137	1	WARM	6.9894
7302	1	WARM	6.9747
7476	1	WARM	6.842
7559	1	WARM	5.9791
7657	1	WARM	4.7869
7770	1	WARM	4.1495
7793	1	WARM	5.7447
7797	1	WARM	4.8996
8025	1	WARM	5.5388
8049	1	WARM	7.3326
8094	1	WARM	6.138
8419	1	WARM	9.0483
8438	1	WARM	8.2632
